penulis,judul,abstrak_indo,abstrak_english,pembimbing_pertama,pembimbing_kedua,prodi
Siti Alifatul Qutsiah,Membangun Aplikasi Pembelajaran Matematika Dasar Bangun Datar Menggunakan Bahasa Pemrograman Python pada Perangkat Bergerak.,"ABSTRAK
E-learning merupakan sistem baru yang sudah berkembang dengan baik hingga saat ini. Sudah banyak pembelajaran yang telah didukung oleh e-learning. Dengan e-learning proses belajar tidak hanya di sekolah, namun sudah bisa dilakukan menggunakan Mobile dengan dukungan e-learning.
Pembuatan mobile learning ini menggunakan bahasa pemrograman Python, dikarenakan singkat dan fleksibelnya dalam pembuatan aplikasi apapun. Selain itu Python juga mempunyai tipe data dan operasi tingkat tinggi yaitu kecepatan pembuatan sistem aplikasi menggunakan tipe objek yang telah ada. 
Hasil penelitian ini adalah: (1) dalam membangun aplikasi
pembelajaran matematika dasar bangun datar untuk sekolah dasar melalui 4 tahap utama yaitu: pengumpulan informasi, perencanaan, pembuatan, dan uji coba (2) kualitas pembelajaran bangun datar yang dibangun ditinjau dari aspek tampilan, isi, pembelajaran, dan teknologi adalah baik. Dengan menggunakan rentang skor 1 sampai 5, aspek tampilan menunjukkan rata-rata 2,4, aspek isi 3,8, aspek pembelajaran 3, dan pada aspek teknologi 2. (3) penggunaan pembelajaran bangun datar berdampak baik terhadap ketuntasan belajar siswa: pada uji coba
kelompok besar dari 50 siswa, terdapat 35 siswa (70%) yang tuntas belajar dalam pembelajaran bangun datar.
Kata Kunci: mobile-learning, Android, Python, e-learning.","ABSTRACT
E-learning is a new system that has been good developed until today. Already much of the learning that has been supported by e-learning. With e-learning and learning process not only in school, but it can be done using Mobile with support for e-learning.
Making mobile learning using the Python programming language, because of the short and rigidities in making any application. In addition Python also has a data type and operation of a high level of speed application system making use of object types that already exist.
The results of this study are: (1) in building basic math learning two-dimentional for primary school through four main stages, namely: information gathering, planning, manufacture, and testing (2) the quality of learning two-dimentional from the aspect of the look, content , learning and technology is good. By using the scores range from 1 to 5, aspects of the display shows an average of 2.4, 3.8 content aspect, the aspect of learning 3, and on the technological aspects 2. (3) the use of two-dimentional learning good impact on mastery learning students: the test try a large group of 50 students, there are 35 students (70%) were thoroughly studied in the learning two-dimentional .
Keywords: mobile-learning, Android, Python, e-learning.","Moch. Kautsar Sophan, S.Kom, M.MT","Yonathan Ferry Hendrawan, S.T, M.IT",Teknik Informatika
Mala Rosa Aprillya,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN PERUMAHAN DENGAN  METODE FUZZY ANALYTICAL HIERARCHY PROCESS  (STUDI KASUS : PERUMAHAN DAERAH GRESIK) ,"Perumahan merupakan tempat tinggal dan merupakan faktor penting sebagai peningkatan harkat dan martabat manusia. Perumahan harus dilengkapi dengan beberapa sarana dan juga prasarana pendukung agar mendapatkan hunian yang nyaman dan sesuai keinginan. Banyaknya developer perumahan yang menawarkan macam-macam perumahan dengan berbagai tipe membuat para kosumen sering merasa bingung dalam memilih perumahan yang diinginkan. Untuk memecahkan permasalahan tersebut di buatlah sebuah sistem pendukung keputusan pemilihan perumahan dengan menggunakan metode Fuzzy Analytical Hierarchy Process dengan beberapa kriteria yang akan dibandingkan. Kriteria yang di bandingkan dalam penelitian ini meliputi harga rumah, luas rumah, luas bangunan, jumlah kamar, dan jumlah lantai. Penelitian ini akan menghasilkan sebuah sistem pendukung keputusan yang dapat memberikan rekomendasi bagi konsumen dalam memilih perumahan. Dalam penelitian ini diharapkan dapat membantu para konsumen dalam pemilihan perumahan hunian yang diinginkan. Dengan penerapan metode Fuzzy Analytical Hierarchy Process pada sistem dan hasil uji coba pengujian sistem menggunakan kuesioner yang telah disebar sebanyak 50 responden, sistem sesuai dengan keinginan customer sebesar 34%, sedangkan customer yang menilai cukup sesuai dengan presentase sebesar 61%.  

Kata kunci : Perumahan, Sistem Pendukung Keputusan (SPK), Fuzzy Analytical Hierarchy Process. ","Residential is a dwelling place and also as an important factor of the enhancement of human being’s dignity. Residential has to complete by supporting facilities and infrastructures for making a comfortable and suitable residence area. Many developers offer many kinds of residential with various prices and types and making the consumers confused to choose the suitable residential. For solving these problems, there is a supporting system for supporting to decide the residential by using method named Fuzzy Analytical Hierarchy Process with some criterias to differ among the residential. The criterias are price, land’s wide, building’s wide, the amount of room, and facility. The result of this study is a supporting deciding system which is going to give a recommendation for consumers to choose the suitable residential. This study expects to help the consumers for deciding the suitable residential. . By using method named Fuzzy Analytical Hierarchy Process on system and The result of the testing questionnaire system from 50 respondent, system is suitable suitable residence area with customer is 34% and system is enough residence area with customer is 61%. 

Keywords : Residential, Decissions System, Fuzzy Analytical Hierarchy Process","Rika Yunitarini, S.T., M.T","Achmad Jauhari, S.T., M.Kom",Teknik Informatika
Try Hastutik,SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI PEMILIHAN MUSAHIL ASRAMA DENGAN METODE ENTROPY DAN TOPSIS (STUDI KASUS : ASRAMA UNIVERSITAS TRUNOJOYO MADURA) ,"Asrama Universitas Trunojoyo Madura (UTM) merupakan salah satu tempat tinggal mahasiswa dengan fasilitas yang lengkap, biaya murah, dan keamanan yang terjamin oleh kampus. Adanya peningkatan pendaftar penghuni asrama setiap tahun, perlu adanya musahil untuk setiap kamar asrama agar menjadi pendamping bagi penghuni asrama dalam jadwal kegiatan sehari-hari dan memantau untuk selalu tertib dan mentaati peraturan serta menjaga etika selama menjadi penghuni asrama. Proses seleksi musahil saat ini masih dilakukan dengan menggunakan software microsoft excel. Untuk mengatasi sistem lama tersebut bisa dibuat sistem rekomendasi pemilihan musahil sesuai dengan kriteria diantaranya keaktifan, mengaji, wawancara, ipk, semester untuk non-fakultas ilmu keislaman (FIK), dan bahasa arab  untuk kriteria tambahan pada fakultas ilmu keislaman (FIK). Metodologi yang digunakan dalam proses sistem pendukung keputusan rekomendasi pemilihan yaitu menggunakan metode Entropy dan Topsis. Hasil dari penerapan metode ini adalah Fakultas Ilmu Keislaman sebanyak 25 puteri sebesar 75% dan 9 putera sebesar 80%. Sedangkan dari Non-Fakultas Ilmu Kesilaman sebanyak 31 putera sebesar 80% dan 54 puteri sebesar 83%.   

Kata Kunci : Musahil, Sistem Pendukung Keputusan, Entropy, Topsis   ","The dormitory of University of Trunojoyo Madura (UTM) is university students’ dormitory with complete facility, economical cost, and safety which is guaranteed by campus. The presence of increasing dormitory occupants’ enrolment every year, it needs musahil for every rooms of dormitory in order to be counselor for dormitory’s occupant and monitor to be order, obey rule, and keep ethic as long as becoming the occupant of dormitory. The musahil selection process nowadays is still conducted by using Microsoft excel software. To overcome the old system can be made musahil selection recommendation system appropriate to some criteria such as being active, reciting Qur’an, interview, the IPK of semester for non-Islamic faculty (FIK), and Arabic for additional criteria at Islamic faculty (FIK). The methodology which is used in the process of the selection recommendation decision of supporter system uses Entropy and Topsis method. The result of method implementation in Islamic faculty as many as 25 females is 75% and 9 males are 80%. While, in non-Islamic faculty as many as 31 males is 80% and 54 females is 83%. 
 
Keyword: Musahil, decision supporting system, entropy, Topsis ","Rika Yunitarini, S.T., M.T","Achmad Jauhari, S.T., M.Kom",Teknik Informatika
Audia Vernanda Arif,Sistem Pendukung Keputusan untuk Pemilihan Desain Interior dengan Menggunakan Fuzzy Analytical Hierarchy Process (FAHP),"Penerapan desain interior pada ruangan perlu mempertimbangkan aspek keindahan, kenyamanan, serta fungsionalitas oleh karena itu dirasa sukar untuk orang awam yang akan menerapkan desain interior pada ruangan. Perancangan sistem pendukung keputusan untuk pemilihan desain interior dilakukan untuk membantu pihak tertentu yang masih bingung dalam menentukan desain interior yang akan diterapkan pada ruangan. Oleh karena itu, diperlukan sebuah sistem yang dapat membantu pemilihan desain interior untuk diterapkan dalam suatu  dengan mempertimbangkan unsur-unsur penting dalam desain interior dimana unsur tersebut memiliki nilai kualitatif. Agar sistem dapat memproses data kualitatif tersebut maka diperlukan metode untuk mengkonversi data kualitatif tersebut yang digunakan untuk menghitung prioritas antar kriteria serta kriteria pada beberapa alternatif desain interior, dalam hal ini digunakan metode Fuzzy Analytical Hierarchy Process (FAHP) sehingga nantinya didapatkan rekomendasi desain interior dari hasil perhitungan yang paling tinggi dan tentunya sesuai dengan keinginan pihak yang akan menerapkan desain interior. 
Hasil rekomendasi dari sistem telah melalui proses uji objektifitas dengan menyebarkan kuisioner kepada 50 responden dan mendapatkan hasil rata-rata nilai sebesar 8.28 untuk poin kesesuaian rekomendasi dengan keinginan customer. 

Kata kunci: desain interior,  fuzzy analytical hierarchy process, sistem pendukung keputusan","Implementation of interior design consideration required in aspects of beauty, comfort, and functionality, therefore it is difficult for layman in applying interior design in their rooms. Design of decision support system for interior design selection done to help people were still confused in determining the interior design. Required system is a system that can assist in the selection of interior design to be applied in a room by considering the essential elements in the interior design which the element has a qualitative value. Required methods for converting qualitative data to calculate the priorities between criteria and sub criteria on several alternative interior design for the system to process the qualitative data that, in this case used Fuzzy Analytical Hierarchy Process (FAHP) that will be obtained on the interior design of the calculation results the highest and certainly liking the parties will apply interior design.

Keywords: decision support system, fuzzy analytical hierarchy process, interior design","Rika Yunitarini, S.T., M.T","Achmad Jauhari, S.T., M.Kom",Teknik Informatika
Imas Dwikatama,RANCANG BANGUN OPEN LEARNER MODEL (OLM) PADA SISTEM E-LEARNING,"E-learning merupakan media pembelajaran berbasis komputer yang mendukung proses belajar yang dilakukan didalam kelas. Penggunaan e-learning saat ini bertujuan untuk mengetahui tingkat kompetensi mahasiswa. Namun dibutuhkan waktu yang cukup lama dan pendekatan yang intensif untuk dapat mengetahui kompetensi yang dimiliki oleh mahasiswa. Permasalahan tersebut dapat diatasi dengan OLM (Open Learner Model) pada sistem E-Learning, dimana sistem tersebut dapat mevisualisasikan mahasiswa dari segi kompetensi dengan sumber yang berasal dari nilai otomatis sistem dan nilai refleksi dari mahasiswa. Nilai otomatis sistem meliputi soal latihan, qiuz, Ujian Tengah Semester (UTS), dan Ujian Akhir Semester (UAS). Setelah sumber data sudah ada maka Open Learner Model (OLM) akan memvisualisasikan kedalam berbagai macam bentuk. Pada penelitan ini menggunakan bentuk visualisasi berupa: Tree Map, Table, Smiley Faces, Word Cloud, Radar Plot, dan Network. Dengan adanya Open Learner Model (OLM) maka informasi tingkat kompetensi akan cepat diperoleh. Bagi mahasiswa diharapkan dapat mengetahui kompetensinya dalam pembelajaran setiap modul. 
Berdasarkan uji coba yang diterapkan, yakni penyebaran kuisioner, sistem ini dinilai mampu memberi kemudahan mahasiswa untuk merefleksi diri sendiri dengan hasil penilaian presentase 76% dan termasuk dalam kategori baik.

Kata Kunci: E-Learning, Open Learner Model (OLM), Refleksi","E-learning is a computer-based learning media that support the learning process that has been done in the classroom. The use of e-learning today aims to determine the level of student competency. However, it takes quite a long time and intensive approach to ascertain the competency of students. These problems can be overcome by OLM (Open Learner Models) on E-Learning system, where the system can mevisualisasikan students in terms of competence with the resources derived from the value of automated systems and value reflection of the students. Value automatic system includes exercises, quizzes, Middle Semester Exam, and Final Examination Semester. Once the data source already exists then Open Learner Model (OLM) will visualize into various forms. This research used the visualization of the form, such as: Tree Map, Table, Smiley Faces, Word Cloud, Radar Plot, and Network. Using the Open Learner Model (OLM) then the information will be quickly obtained a level of competence. Students are expected to know that they are competence in learning for each module.
Based on trials that are applied, the questionnaire, the system is considered able to provide convenience for the student's own reflection with the results of assessment percentage of 76% and is included in both categories.

Keywords: E-Learning, Open Learner Model (OLM), Reflection","Rika Yunitarini, ST., MT.","Andharini Dwi C., S.Kom, M.Kom",Teknik Informatika
Indrit Cikita Dwi Putri,Penetapan harga jual produk dengan simulasi sistem dinamik untuk meningkatkan profitabilitas,"Kebijakan penetapan harga jual sebuah produk pada suatu unit usaha merupakan strategi penting dalam proses penjualan yang harus diputuskan secara cepat dan tepat. Tidak terkecuali bagi PT. Dua Putri Kedaton yang  termasuk perusahaan yang cukup besar dalam bidangnya. Salah satu produk yang dihasilkan oleh perusahaan ini adalah aspal hotmix Saat ini penetapan harga aspal hotmix per tonase hingga pemasangannya ditetapkan secara acak dan berpatokan pada harga pasar. Oleh sebab itu, penjualan dan keuntungan yang dihasilkan juga masih belum maksimal. Untuk mengatasi permasalahan  penetapan harga tersebut, perlu di analisis strategi penetapan harga yang tepat.  Sehingga dapat menggambarkan sistem atau keadaan pasar yang nyata. Solusi yang dapat digunakan adalah melalui pendekatan simulasi sistem dinamik. Metode tersebut sangat cocok untuk kasus variabel yang selalu berubah. Sedangkan software yang dapat digunakan adalah aplikasi Vensim. Berdasarkan hasil simulasi, penetapan harga melalui simulasi dapat meningkatkan profit sebesar 11,10 %. Untuk meningkatkan profit, bisa dikembangkan skenario efisiensi biaya. Dimana, pada kondisi optimis skenario ini bisa meningkatkan profit sebesar 7,26 %.  Skenario harga bbm juga bisa dilakukan untuk meramalkan harga pada saat terjadi kenaikan atau penurunan harga BBM.","Policy of pricing a product in a work unit is important strategy in sale process that has to be decided rapidly and  accurately. No exception for PT. Dua Putri Kedaton which includes a company that is big enough in its field. One of products which is produced by this company is asphalt hotmix. At time,pricing of asphalt hotmix per tons until installation is set randomly and based on market share. That is way, sale and profit have not been maximal. To overcome the pricing problem, it needs exact analysis of pricing strategy so that it can draw system or real market condition. The solution that can be used is approach of dynamic system, simulation. That method is very suitable for variable case which is always change. While, fix software can be used is application vensim. Based on the result of simulation, pricing with simulation can increase profit in amount 11,10%. it can be developed scenario of efficiency cost To increase the profit. In condition of optimist scenario, it can increase profit as big as 7,26%. Fuel oil scenario can be done to predict fuel oil price when rising or depression occurring. ","Achmad Jauhari, S.T.,M.Kom.","Sigit Susanto Putro, S.Kom.,M.Kom.",Teknik Informatika
Ristya Mega Pratiwi,SISTEM REKOMENDASI PENDUKUNG KEPUTUSAN PEMILIHAN KEPALA SEKOLAH MENGGUNAKAN ALGORITMA C45. (STUDI KASUS: Dinas Pendidikan Kabupaten Madiun).,"Kemajuan setiap sekolah menengah pertama/menengah atas tidak lepas dari pengaruh bagaimana kemampuan kepala sekolah dalam mengelola seluruh sumber daya yang ada pada sekolah tersebut. Oleh karena itu diperlukan sumber daya manusia yang berkualitas, dalam hal ini guru-guru yang memiliki potensi dan prestasi untuk menjadi kepala sekolah agar dapat mewujudkan pendidikan yang berkualitas.
Saat ini proses seleksi pemilihan kepala sekolah masih dilakukan dengan menggunakan software microsoft excel. Pengambilan keputusan penentuan calon kepala sekolah pada Dinas Pendidikan Kabupaten Madiun merupakan hal yang relatif sulit karena terdapat berbagai kriteria yang mempengaruhi, yang diantaranya yaitu: Pendidikan terakhir, Usia, Lama Mengajar, Sertifikat Pendidikan, Wawancara dan Surat Sehat.  Tugas akhir ini bertujuan untuk membangun sistem pendukung keputusan yang mempunyai kemampuan analisa pemilihan kepala sekolah dengan menggunakan Algoritma C4.5, dimana algoritma C4.5 merupakan pohon keputusan yang memiliki tingkat akurasi yang tinggi dalam menentukan keputusan.
Dari penelitian yang telah dilakukan, diketahui nilai precision dari algoritma C4.5 dengan partisi data 7:3 menghasilkan nilai sebesar 100%. Nilai accuracy algoritma C4.5 partisi data 7:3 dengan nilai sebesar 80%.

Kata kunci : Algoritma C4.5, Pemilihan Kepala Sekolah, Sistem Pendukung Keputusan","The progress of each junior / senior high due to the impact of how the ability of principals in managing all the resources that exist in the school. Therefore we need a quality human resources, in this case the teachers who have the potential and achievements to become principals in order to realize a quality education. Currently the selection process of the selection of the school head is still done using Microsoft Excel software. Decision-making determination of prospective principals in Madiun District Education Office is relatively difficult because there are various criteria that influence, which include: education Last, Age, Old Teaching, Education Certificate, interviews and Health Letter. This final project aims to develop a decision support system that has the ability to analyze the selection of principals by using algorithm C4.5, C4.5 algorithm which is a decision tree that has a high degree of accuracy in determining the decision. From the research that has been done, the known value of precision of the data partitioning algorithm C4.5 with 7: 3 yields a value of 100%. Value accuracy of data partitioning algorithm C4.5 7: 3 with a value of 80%. 

Keywords: Algorithm C4.5, Election Principal, Decision Support System","Rika Yunitarini, S.T., M.T.","Achmad Jauhari, S.T., M.Kom.",Teknik Informatika
Abdul Hakim,KLASIFIKASI FASE DIABETIC RETINOPATHY PADA FUNDUS MATA MENGGUNAKAN GRAY LEVEL RUN LENGTH MATRIX (GLRLM),"Diabetes melitus merupakan suatu kondisi dimana tingginya kadar gula dalam darah yang melebihi kisaran normal. Salah satu penyakit hasil dari komplikasi diabetes melitus yaitu diabetic retinopathy. Penyakit ini dapat menyebabkan kerusakan pada retina mata dan beresiko buta secara permanen pada penderitanya. Mendeteksi penyakit ini bisa dilakukan dengan cara melihat informasi pada citra fundus mata. Maka dari itu diperlukan adanya penelitian klasifikasi fase diabetic retinopathy melalui citra fundus mata. Tugas Akhir ini menggunakan metode gray level run length matrix (GLRLM) sebagai metode ekstraksi fiturnya. Terdapat tiga langkah utama dalam proses klasifikasi dalam penelitian ini. Langkah pertama dengan mengubah citra asli menjadi grayscale, kemudian dilakukan masking overlay yaitu mengeliminasi blood vessel pada citra grayscale dengan hasil proses segmentasi. Langkah kedua adalah ekstraksi fitur dengan menggunakan metode GLRLM. Proses terakhir yaitu klasifikasi fase dengan menggunakan metode manhattan. Pengujian akan dilakukan terhadap database MESSIDOR (Methode to evaluate segmentation and indexing techniques in the field of retinal ophtamology) yang telah terklasifikasi. Berdasarkan hasil penelitian dan pengujian terhadap sistem, maka didapatkan tingkat akurasi tertinggi sebesar 66,67%.

Kata kunci: Diabetic Retinopathy, gray level run length matrix, blood vessel, masking overlay, manhattan, MESSIDOR.","Diabetes mellitus is a condition in which high blood sugar levels that exceed the normal range. One of the diseases complications of diabetes mellitus is diabetic retinopathy. This disease can cause damage the retina of the eye and the risk of permanently blind to the sufferer. Detecting the disease can be done by looking at the information on the image of the eye fundus. Therefore it is necessary to research the classification phase of diabetic retinopathy through the eye fundus image. This final project using the gray level run length matrix (GLRLM) as its extraction method. There are three main steps in the process of classification in this research. The first step to transform the original image into grayscale, then masking overlay that eliminates blood vessel on a grayscale image with the results of the segmentation process. The second step is feature extraction using GLRLM. The last process is the classification phase using manhattan methods. Testing will be performed against to the MESSIDORE (Method to Evaluate segmentation and indexing techniques in the field of retinal ophtamology) database that have been classified. Based on the research and testing of the system, then obtained the highest accuracy rate of 66.67%

Keywords: Diabetic Retinopathy, gray level run length matrix, blood vessel, masking overlay, manhattan, MESSIDOR","Dr. Indah Agustien S, S. Kom., M.Kom","Dr. Arif Muntasa, S. Si., M.T",Teknik Informatika
Irina Kurniawati,"SISTEM PAKAR UNTUK DIAGNOSA PENYAKIT PULPA DENGAN METODE DEMPSTER
SHAFER","Penyakit gigi merupakan penyakit yang paling banyak dikeluhkan oleh masyarakat Indonesia. Penyakit gigi diawali dengan gigi berlubang yang apabila tidak ditangani secara serius akan menyebabkan timbulnya penyakit Pulpa yaitu salah satu bagian penting dalam rongga gigi. Penyakit pulpa bersifat agresif komulatif, artinya daerah yang rusak tidak dapat disembuhkan apabila tidak ditangani dengan cepat dan tepat. Sedangkan, penyakit gigi dan mulut merupakan penyakit keempat yang paling mahal biaya penyembuhannya. 
Berdasarkan data tentang tingginya penderita penyakit Pulpa serta rendahnya jumlah pasien yang mampu berobat ke dokter karena membutuhkan biaya yang mahal, maka dengan mengimplementasikan metode Dempster Shafer dibuatlah suatu alternatif sistem pakar yang dapat membantu penderita penyakit Pulpa agar dapat mengetahui diagnosa penyakitnya serta mengetahui cara perawatannya tanpa harus mengeluarkan biaya yang mahal. 
Dari penelitian ini telah dihasilkan sistem pakar untuk mendiagnosa penyakit Pulpa dan setelah dilakukan uji coba 60 kasus data, diperoleh nilai akurasi sebesar 98,3%. 
Kata Kunci : Pulpa, Sistem Pakar, Dempster Shafer","Dental disease is a disease that most complained by the people of Indonesia. Dental disease begins with cavities which, if not taken seriously will cause Pulp disease is one important part of the tooth cavity. Pulp disease is aggressive cumulative, meaning that the damaged area can not be cured if not treated quickly and appropriately. Meanwhile, dental disease and mouth disease is the fourth most expensive cost recovery.
Based on data about the high disease Pulp and the low number of patients who were able to go to the doctor because of a high price, then by implementing the method of Dempster Shafer made an alternative expert system that can help people with the disease Pulp in order to confirm a diagnosis of the disease and know how to treat them without having the cost is expensive.
This research has produced an expert system to diagnose the disease Pulp and after testing 60 cases the data shows that the value of accuracy of 98.3%.
Keywords : Pulp, Expert System, Dempster Shafer","Rika Yunitarini, ST., MT.","Achmad Jauhari, ST., M.Kom.",Teknik Informatika
Suci Darma Wati,KLASIFIKASI DIABETIC RETINOPATHY PADA CITRA RETINA MENGGUNAKAN PRINCIPAL COMPONENT ANALYSIS (PCA),"Mata adalah  alat indera dengan berbagai fungsi yang rentan terhadap penyakit. diabetik retinopathy merupakan salah satu penyakit pada mata yang  diakibatkan oleh diabetes mellitus. Resiko penderita akan terus bertambah seiring lamanya mengidap penyakit ini, bahkan mampu mengakibatkan kebutaan. Untuk mengantisipasi kerusakan yang lebih parah, perlu adanya sistem yang mampu mendeteksi fase diabetic retinopathy (DR)  secara dini. Sistem yang dibangun pada penelitian ini  merupakan sistem yang dapat digunakan untuk mendeteksi fase diabetic retinopathy dengan menggunakan metode Principal Component Analysis (PCA) dan metode klasifikasi K-Nearest Neighbor (KNN). Sistem ini dapat menggolongkan citra retina kedalam empat fase DR yaitu, normal, Poliferative Diabetic Retinopathy (PDR), non- Poliferative Diabetic Retinopathy (NPDR) dan Macular Edema (ME). Pengujian dilakukan terhadap citra retina pada database Methode to evaluate segmentation and indexing techniques in the field of retinal ophtamology (MESSIDORE) yang sudah terklasifikasi sesuai tingkatan fasenya. Dari hasil analisis dan pengujian yang dilakukan pada sistem, didapatkan tingkat akurasi tertinggi adalah 85%.

Kata kunci : Diabetic Retinopathy, Principal Component Analysis,  K- Nearest Neighbhor, MESSIDORE.
","Eye is a sense organ with various functions that easily have disease. diabetic retinopathy is one of eye’s disease as a result of diabetes mellitus. Risk patients will continue to increase with the length of this disease, even able to cause blindness. In anticipation of further damage, a system is required to  detect phase of diabetic retinopathy (DR) . The build system in this study is a system that can be used to detect the phase of diabetic retinopathy using Principal Component Analysis (PCA) and  K-Nearest Neighbor (KNN) methode. This system can classify the retinal image of DR into four phases, are:  normal, Poliferative Diabetic Retinopathy (PDR), non- Poliferative Diabetic Retinopathy (NPDR) and Macular Edema (ME). The test is conducted of the retinal image in the MESSIDORE database (Method to Evaluate segmentation and indexing techniques in the field of retinal ophtamology ).From  the analysis and exsperiment  performed on the system, the highest accuracy rate was 85%.","Dr. Arif Muntasa, S.Si., M.T","Dr. Indah Agustien S, S.Kom., M.Kom",Teknik Informatika
Yuli Ratna Sari,Sistem Pendukung Keputusan Penentuan Pegawai Berprestasi dengan Metode Weighted Product (WP) dan TOPSIS,"Dalam proses penentuan pegawai berprestasi di Dinas Komunikasi dan Informatika Kabupaten Sumenep pada saat ini masih dilakukan dengan microsoft excel, sehingga sistem kinerjanya cukup lambat dan kesulitan dalam mengelola data. Terkadang juga menyebabkan terjadinya kesalahan dalam pengambilan keputusan. Untuk mengatasi sistem lama tersebut bisa dibuat sistem pendukung keputusan dimana metode penilaiannya harus objektif.
Pembuatan sistem ini harus memperhatikan kriteria-kriteria yang telah ditetapkan oleh Peraturan Kepala BKN Nomor 1 Tahun 2013 tentang Ketentuan Pelaksanaan Peraturan Pemerintah Nomor 46 Tahun 2011 tentang Penilaian Prestasi kerja PNS. Metodologi yang digunakan dalam proses sistem pendukung keputusan penentuan pegawai berprestasi yaitu metode Weighted Product dan Topsis.
Hasil dari pengujian menunjukkan bahwa penentuan pegawai berprestasi dengan kedua metode pengolahan data tersebut mempunyai tingkat akurasi 80% jika dibandingkan dengan perhitungan manual.","In the process of the determination of employee achievement, Department of Communication and Information Sumenep Regency still use Microsoft Excel this time, so the performance system is pretty slow and difficult to process the data. Sometimes it also causes error happened in make the decision. To resolve the old system, it could make the decision support system where the scoring system must be objective.
This making of the system have to pay attention on criteria that has been defined by BKN Chief Regulation No. 1 Year 2013 about The Provisions of The Implementation of Government Regulations No. 46 Year 2011 about The Assessment of civil servant work achievement. The research methods used in the process the decision support of the determination of employee achievement decision system are Weighted Product and Topsis.
The result of this examination shows that the determination of employee achievement with both data processing methods have accuracy level 80% compared with manual calculation.","Achmad Jauhari, S.T.,M.Kom","Rika Yunitarini, S.T.,M.T",Teknik Informatika
Rahmawati Nurfitria,Klasifikasi Citra Mata Penderita Diabetic Retinopathy Menggunakan Simplify 2D-LDA,"Pendeteksian penyakit diabetic retinopathy telah dilakukan oleh berbagai peneliti dengan menggunakan machine learning berbasis image processing. Namun dalam prakteknya, citra yang seharusnya dideteksi sebagai ciri normal justru dianggap sebagai ciri penyakit. Sebagai contoh optic disc yang dideteksi sebagai lemak protein (eksudat). Oleh karena itu, peneliti-peneliti sebelumnya telah mengembangkan metode guna menghilangkan optic disc sebelum proses klasifikasi keparahan penyakit diabetic retinopathy agar akurasi yang didapat lebih tinggi. Proses untuk menghilangkan optic disc adalah mengeliminasi optic disc dari citra asli yang  telah ditempelkan dengan citra dari proses sebelumnya (segmentasi). Tahapan selanjutnya melakukan ekstraksi fitur untuk mendapatkan karakteristik citra. Pada penelitian ini, ekstraksi fitur yang digunakan metode simplify 2D-LDA yang merupakan penyederhanaan dari metode LDA. Perhitungan akurasi pada percobaan ini menggunakan similarity measurement ecludian distances. Dengan menggunakan metode ini, hasil yang didapatkan selama percobaan mencapai 50% menggunakan citra tanpa eliminasi optic disc  dengan perbandingan data antara data pelatihan dan pengujian sebesar 2:1.","The detection of diabetic retinopathy have been conducted by various researchers using machine learning-based image processing. But in practice, the image that should be detected as a normal characteristic is exactly detected as characteristic of the disease. For example, optic disc is detected as fat of protein (exudate). Therefore, previous researchers have developed a method to eliminate the optic disc prior to the classification of disease severity diabetic retinopathy in order to obtain higher accuracy. The process to remove the optical disc is to eliminate the optic disc of the original image that has been affixed to the image of the previous process (segmentation). The next stage perform feature extraction to obtain the characteristics of the image. In this study, which used feature extraction methods simplify 2D-LDA is a simplified method of LDA. Calculation of accuracy in this experiment used similarity measurement euclidean distances. By using this method, the results obtained during the experiments reached 50% using the image without the elimination of optic disc with data comparison between the training data and testing of 2:1.","Indah Agustien S., S.Kom.,M.Kom.","Arif Muntasa, S.Si.,M.T.",Teknik Informatika
