id,Text,clean,cluster
859,Spoons it is then okay?,spoons it is then okay,6
860,Did he just say somebody is named tampa,did he just say somebody is named tampa,4
861,In work now. Going have in few min.,in work now going have in few min,5
862,Your brother is a genius,your brother is a genius,6
863,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",sorry i guess whenever i can get a hold of my connections maybe an hour or two i ll text you,9
864,Did u find out what time the bus is at coz i need to sort some stuff out.,did u find out what time the bus is at coz i need to sort some stuff out,6
865,Dude ive been seeing a lotta corvettes lately,dude ive been seeing a lotta corvettes lately,6
866,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call ts cs pm approx mins,6
867,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",same here but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it don t matter,4
868,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,private your account statement for xxxxxx shows un redeemed s i m points call identifier code expires,6
869,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r,6
870,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,what do u want for xmas how about free text messages a new video phone with half price line rental call free now on to find out more,6
871,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",well am officially in a philosophical hole so if u wanna call am at home ready to be saved,6
872,Its going good...no problem..but still need little experience to understand american customer voice...,its going good no problem but still need little experience to understand american customer voice,5
873,I'll text you when I drop x off,i ll text you when i drop x off,6
874,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,ugh its been a long day i m exhausted just want to cuddle up and take a nap,4
875,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,talk with yourself atleast once in a day otherwise you will miss your best friend in this world shakespeare shesil lt gt,1
876,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",shop till u drop is it you either k k cash or travel voucher call now ntt po box cr bt fixedline cost ppm mobile vary,6
877,Are you in castor? You need to see something,are you in castor you need to see something,6
878,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to sp tyrone,6
879,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on,6
880,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on stopsms,6
881,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,reminder you have not downloaded the content you have already paid for goto mymoby tv to collect your content,6
882,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",see i knew giving you a break a few times woul lead to you always wanting to miss curfew i was gonna gibe you til one but a midnight movie is not gonna get out til after you need to come home you need to getsleep and if anything you need to b studdying ear training,6
883,I love to give massages. I use lots of baby oil... What is your fave position?,i love to give massages i use lots of baby oil what is your fave position,9
884,Dude we should go sup again,dude we should go sup again,6
885,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,yoyyooo u know how to change permissions for a drive in mac my usb flash drive,2
886,Gibbs unsold.mike hussey,gibbs unsold mike hussey,6
887,I like to talk pa but am not able to. I dont know y.,i like to talk pa but am not able to i dont know y,0
888,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,y dun cut too short leh u dun like ah she failed she s quite sad,0
889,You unbelievable faglord,you unbelievable faglord,6
890,Wife.how she knew the time of murder exactly,wife how she knew the time of murder exactly,6
891,Why do you ask princess?,why do you ask princess,6
892,I am great princess! What are you thinking about me? :),i am great princess what are you thinking about me,5
893,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,nutter cutter ctter cttergg cttargg ctargg ctagg ie you,6
894,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,it s ok i noe u re busy but i m really too bored so i msg u i oso dunno wat colour she choose me one,6
895,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,doesn t g have class early tomorrow and thus shouldn t be trying to smoke at lt gt,1
896,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",superb thought be grateful that u dont have everything u want that means u still have an opportunity to be happier tomorrow than u are today,6
897,Hope you are having a good week. Just checking in,hope you are having a good week just checking in,4
898,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",i m used to it i just hope my agents don t drop me since i ve only booked a few things this year this whole me in boston them in nyc was an experiment,4
899,"Thursday night? Yeah, sure thing, we'll work it out then",thursday night yeah sure thing we ll work it out then,6
900,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,6
901,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,probably money worries things are coming due and i have several outstanding invoices for work i did two and three months ago,6
902,How is it possible to teach you. And where.,how is it possible to teach you and where,6
903,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",i wonder if your phone battery went dead i had to tell you i love you babe,9
904,Lovely smell on this bus and it ain't tobacco... ,lovely smell on this bus and it ain t tobacco,6
905,"We're all getting worried over here, derek and taylor have already assumed the worst",we re all getting worried over here derek and taylor have already assumed the worst,6
906,Hey what's up charles sorry about the late reply.,hey what s up charles sorry about the late reply,9
907,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to,6
908,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,i ll give her once i have it plus she said grinule greet you whenever we speak,6
909,WHITE FUDGE OREOS ARE IN STORES,white fudge oreos are in stores,6
910,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",january male sale hot gay chat now cheaper call national rate from p min cheap to p min peak to stop texts call p min,6
911,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,my love how come it took you so long to leave for zaher s i got your words on ym and was happy to see them but was sad you had left i miss you,9
912,I am sorry it hurt you.,i am sorry it hurt you,9
913,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,can t i feel nauseous i m so pissed i didn t eat any sweets all week cause today i was planning to pig out i was dieting all week and now i m not hungry,6
914,Ok lor but not too early. Me still having project meeting now.,ok lor but not too early me still having project meeting now,8
915,"Call me da, i am waiting for your call.",call me da i am waiting for your call,6
916,I could ask carlos if we could get more if anybody else can chip in,i could ask carlos if we could get more if anybody else can chip in,6
917,Was actually about to send you a reminder today. Have a wonderful weekend,was actually about to send you a reminder today have a wonderful weekend,6
918,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",when people see my msgs they think iam addicted to msging they are wrong bcoz they don t know that iam addicted to my sweet friends bslvyl,2
919,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,hey you gave them your photo when you registered for driving ah tmr wanna meet at yck,6
920,Dont talk to him ever ok its my word.,dont talk to him ever ok its my word,8
921,When u wana see it then,when u wana see it then,6
922,On ma way to school. Can you pls send me ashley's number,on ma way to school can you pls send me ashley s number,6
923,It shall be fine. I have avalarr now. Will hollalater,it shall be fine i have avalarr now will hollalater,5
924,She went to attend another two rounds today..but still did't reach home..,she went to attend another two rounds today but still did t reach home,6
925,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,actually i deleted my old website now i m blogging at magicalsongs blogspot com,6
926,"K, wait chikku..il send aftr  &lt;#&gt; mins",k wait chikku il send aftr lt gt mins,1
927,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,but i m on a diet and i ate too many slices of pizza yesterday ugh i m always on a diet,6
928,K:)i will give my kvb acc details:),k i will give my kvb acc details,6
929,Oh all have to come ah?,oh all have to come ah,6
930,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,money you r a lucky winner claim your prize text money over million to give away ppt x normal text rate box w t jy,6
931,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),i m really sorry i won t b able do this friday hope u can find an alternative hope yr term s going ok,5
932,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,congratulations ore mo owo re wa enjoy it and i wish you many happy moments to and fro wherever you go,6
933,So do you have samus shoulders yet,so do you have samus shoulders yet,6
934,What time you think you'll have it? Need to know when I should be near campus,what time you think you ll have it need to know when i should be near campus,7
935,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",dear matthew please call from a landline your complimentary lux tenerife holiday or cash await collection ppm sae t cs box sk xh,6
936,Then dun wear jeans lor...,then dun wear jeans lor,6
937,"Since when, which side, any fever, any vomitin.",since when which side any fever any vomitin,6
938,K:)k.are you in college?,k k are you in college,6
939,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",urgent call from landline your complimentary tenerife holiday or cash await collection sae t cs box hp yf ppm,6
940,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,better made up for friday and stuffed myself like a pig yesterday now i feel bleh but at least its not writhing pain kind of bleh,0
941,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),no we sell it all so we ll have tons if coins then sell our coins to someone thru paypal voila money back in life pockets,6
942,Theyre doing it to lots of places. Only hospitals and medical places are safe.,theyre doing it to lots of places only hospitals and medical places are safe,6
943,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),how about getting in touch with folks waiting for company just txt back your name and age to opt in enjoy the community p sms,4
944,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,and also i ve sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,6
945,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",i sent my scores to sophas and i had to do secondary application for a few schools i think if you are thinking of applying do a research on cost also contact joke ogunrinde her school is one me the less expensive ones,7
946,I cant wait to see you! How were the photos were useful? :),i cant wait to see you how were the photos were useful,6
947,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,ur cash balance is currently pounds to maximize ur cash in now send go to only p msg cc po box tcr w,6
948,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,hey i booked the kb on sat already what other lessons are we going for ah keep your sat night free we need to meet and confirm our lodging,5
949,Chk in ur belovd ms dict,chk in ur belovd ms dict,6
950,Is that what time you want me to come?,is that what time you want me to come,6
951,"Awesome, lemme know whenever you're around",awesome lemme know whenever you re around,2
952,Shb b ok lor... Thanx...,shb b ok lor thanx,8
953,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it good night,6
954,Also remember to get dobby's bowl from your car,also remember to get dobby s bowl from your car,6
955,Filthy stories and GIRLS waiting for your,filthy stories and girls waiting for your,6
956,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,sorry i now then c ur msg yar lor so poor thing but only one night tmr u ll have a brand new room sleep in,6
957,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",love isn t a decision it s a feeling if we could decide who to love then life would be much simpler but then less magical,9
958,Welp apparently he retired,welp apparently he retired,6
959,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,my sort code is and acc no is the bank is natwest can you reply to confirm i ve sent this to the right person,6
960,Where @,where,6
961,U sure u can't take any sick time?,u sure u can t take any sick time,6
962,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call from land line claim m valid hrs only,6
963,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",watching cartoon listening music amp at eve had to go temple amp church what about u,6
964,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,yo chad which gymnastics class do you wanna take the site says christians class is full,6
965,Are you this much buzy,are you this much buzy,6
966,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,or better still can you catch her and let ask her if she can sell lt gt for me,1
967,I am not sure about night menu. . . I know only about noon menu,i am not sure about night menu i know only about noon menu,2
968,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,what do u want when i come back a beautiful necklace as a token of my heart for you thats what i will give but only to my wife of my liking be that and see no one can give you that dont call me i will wait till i come,6
969,Are you willing to go for aptitude class.,are you willing to go for aptitude class,6
970,"It wont b until 2.15 as trying 2 sort house out, is that ok?",it wont b until as trying sort house out is that ok,8
971,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",yar lor he wan go c horse racing today mah so eat earlier lor i ate chicken rice u,6
972,"Haha awesome, omw back now then",haha awesome omw back now then,6
973,Yup i thk so until e shop closes lor.,yup i thk so until e shop closes lor,6
974,what is your account number?,what is your account number,6
975,Eh u send wrongly lar...,eh u send wrongly lar,6
976,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,hey no i ad a crap nite was borin without ya boggy with me u boring biatch thanx but u wait til nxt time il ave ya,6
977,Ok i shall talk to him,ok i shall talk to him,8
978,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,dont hesitate you know this is the second time she has had weakness like that so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,0
979,Hey you can pay. With salary de. Only  &lt;#&gt; .,hey you can pay with salary de only lt gt,1
980,Another month. I need chocolate weed and alcohol.,another month i need chocolate weed and alcohol,6
981,If he started searching he will get job in few days.he have great potential and talent.,if he started searching he will get job in few days he have great potential and talent,5
982,Reckon need to be in town by eightish to walk from * carpark.,reckon need to be in town by eightish to walk from carpark,6
983,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",congrats mobile g videophones r yours call now videochat wid your mates play java games dload polyph music noline rentl,6
984,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,look at the fuckin time what the fuck you think is up,7
985,Yo guess what I just dropped,yo guess what i just dropped,4
986,Carlos says he'll be at mu in  &lt;#&gt;  minutes,carlos says he ll be at mu in lt gt minutes,1
987,I'm in office now . I will call you  &lt;#&gt;  min:),i m in office now i will call you lt gt min,1
988,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",geeee i miss you already you know your all i can think about fuck i can t wait till next year when we will be together loving kiss,7
989,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",yun ah the ubi one say if wan call by tomorrow call look for irene ere only got bus ubi cres ubi tech park ph for st wkg days n,6
990,Ugh. Gotta drive back to sd from la. My butt is sore.,ugh gotta drive back to sd from la my butt is sore,6
991,26th OF JULY,th of july,6
992,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,hi im having the most relaxing time ever we have to get up at am every day was the party good the other night i get home tomorrow at ish,5
993,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,up to wan come then come lor but i din c any stripes skirt,6
994,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp wish u merry xmas,6
995,"I can't, I don't have her number!",i can t i don t have her number,6
996,Change again... It's e one next to escalator...,change again it s e one next to escalator,6
997,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,yetunde i m in class can you not run water on it to make it ok pls now,8
998,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,not a lot has happened here feels very quiet beth is at her aunts and charlie is working lots just me and helen in at the mo how have you been,4
999,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,then wait me at bus stop aft ur lect lar if i dun c then i go get my car then come back n pick,6
1000,"Aight will do, thanks again for comin out",aight will do thanks again for comin out,6
1001,No..but heard abt tat..,no but heard abt tat,6
1002,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call our customer service representative on freephone between am pm as you have won a guaranteed cash or prize,6
1003,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,yes he is really great bhaji told kallis best cricketer after sachin in world very tough to get out,5
1004,&lt;#&gt;  am I think? Should say on syllabus,lt gt am i think should say on syllabus,1
1005,Umma. Did she say anything,umma did she say anything,6
1006,Give me a sec to think think about it,give me a sec to think think about it,7
1007,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt on orange contract call mobileupd on or call optout,6
1008,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,i don t quite know what to do i still can t get hold of anyone i cud pick you up bout pm and we can see if they re in the pub,2
1009,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",poyyarikatur kolathupalayam unjalur post erode dis lt gt,1
1010,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",dear hero i am leaving to qatar tonite for an apt opportunity pls do keep in touch at lt email gt kerala,1
1011,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,6
1012,"I just got home babe, are you still awake ?",i just got home babe are you still awake,4
1013,I dunno they close oredi not... ÌÏ v ma fan...,i dunno they close oredi not v ma fan,6
1014,Just buy a pizza. Meat lovers or supreme. U get to pick.,just buy a pizza meat lovers or supreme u get to pick,4
1015,"Ya, told..she was asking wats matter?",ya told she was asking wats matter,6
1016,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",dear regret i cudnt pick call drove down frm ctla now at cochin home left mobile in car ente style ishtamayoo happy bakrid,6
1017,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,free for st week no nokia tone ur mob every week just txt nokia to get txting and tell ur mates pobox w wq norm p tone,4
1018,Shall i send that exe to your mail id.,shall i send that exe to your mail id,6
1019,Nope watching tv at home... Not going out. V bored...,nope watching tv at home not going out v bored,5
1020,Don know..wait i will check it.,don know wait i will check it,2
1021,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",good afternoon on this glorious anniversary day my sweet j i hope this finds you happy and content my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers you cougar pen,7
1022,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,guess what somebody you know secretly fancies you wanna find out who it is give us a call on from landline datebox essexcm xn p min,2
1023,We still on for tonight?,we still on for tonight,6
1024,May i call You later Pls,may i call you later pls,6
1025,Hasn't that been the pattern recently crap weekends?,hasn t that been the pattern recently crap weekends,6
1026,I have a sore throat. It's scratches when I talk,i have a sore throat it s scratches when i talk,6
1027,Yes da. Any plm at ur office,yes da any plm at ur office,6
1028,Are you not around or just still asleep? :V,are you not around or just still asleep v,4
1029,"Lol you forgot it eh ? Yes, I'll bring it in babe",lol you forgot it eh yes i ll bring it in babe,9
1030,"Its good, we'll find a way",its good we ll find a way,6
1031,Can not use foreign stamps in this country. Good lecture .,can not use foreign stamps in this country good lecture,6
1032,Yup bathe liao...,yup bathe liao,6
1033,HAPPY NEW YEAR MY NO.1 MAN,happy new year my no man,6
1034,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",oh mr sheffield you wanna play that game okay you re the boss and i m the nanny you give me a raise and i ll give you one,6
1035,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,zoe it just hit me im fucking shitin myself il defo try my hardest cum morow luv u millions lekdog,4
1036,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",hello baby did you get back to your mom s are you setting up the computer now filling your belly how goes it loverboy i miss you already sighs,9
1037,"No my blankets are sufficient, thx",no my blankets are sufficient thx,6
1038,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt,6
1039,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gm,6
1040,They just talking thats it de. They wont any other.,they just talking thats it de they wont any other,4
1041,Today am going to college so am not able to atten the class.,today am going to college so am not able to atten the class,5
1042,I'm in class. Will holla later,i m in class will holla later,6
1043,Easy ah?sen got selected means its good..,easy ah sen got selected means its good,6
1044,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,mmm thats better now i got a roast down me i d b better if i had a few drinks down me good indian,6
1045,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",we know someone who you know that fancies you call to find out who pobox ls hb p,2
1046,"Come round, it's . ",come round it s,6
1047,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",do thing change that sentence into because i want concentrate in my educational career im leaving here,6
1048,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",s flirting now txt girl or bloke ur name age eg girl zoe to to join and get chatting,6
1049,I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,i walked an hour c u doesn t that show i care y wont u believe im serious,6
1050,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to,6
1051,Are you available for soiree on June 3rd?,are you available for soiree on june rd,6
1052,Do u noe wat time e place dat sells 4d closes?,do u noe wat time e place dat sells d closes,6
1053,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished,6
1054,Jay's getting really impatient and belligerent,jay s getting really impatient and belligerent,6
1055,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,hiya comin bristol st week in april les got off rudi on new yrs eve but i was snoring they were drunk u bak at college yet my work sends ink bath,6
1056,I'm at work. Please call,i m at work please call,6
1057,Then u drive lor.,then u drive lor,6
1058,Ard 515 like dat. Y?,ard like dat y,0
1059,Tell me they're female :V how're you throwing in? We're deciding what all to get now,tell me they re female v how re you throwing in we re deciding what all to get now,6
1060,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to now chance win cash wkent p,6
1061,I'm working technical support :)voice process.networking field.,i m working technical support voice process networking field,6
1062,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,i might come to kerala for days so you can be prepared to take a leave once i finalise dont plan any travel during my visit need to finish urgent works,6
1063,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve,6
1064,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,we have new local dates in your area lots of new people registered in your area reply date to start now only replys,6
1065,"That's fine, I'll bitch at you about it later then",that s fine i ll bitch at you about it later then,5
1066,No my mum went 2 dentist.,no my mum went dentist,6
1067,Once free call me sir. I am waiting for you.,once free call me sir i am waiting for you,6
1068,Meeting u is my work. . . Tel me when shall i do my work tomorrow,meeting u is my work tel me when shall i do my work tomorrow,6
1069,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,someone u know has asked our dating service contact you cant guess who call now all will be revealed po box m wu,2
1070,Jus finish bathing...,jus finish bathing,6
1071,"alright, I'll make sure the car is back tonight",alright i ll make sure the car is back tonight,6
1072,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call from land line claim c valid hrs only,6
1073,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,dear u ve been invited to xchat this is our final attempt to contact u txt chat to,6
1074,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea,6
1075,Aight ill get on fb in a couple minutes,aight ill get on fb in a couple minutes,6
1076,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,6
1077,Where can download clear movies. Dvd copies.,where can download clear movies dvd copies,6
